alpha,L_formula,L_numeric,C_numeric,abs_error_L
-1.0,1.0,1.0,0.0,0.0
-0.99,0.995,0.995,0.0,0.0
-0.98,0.99,0.99,0.0,0.0
-0.97,0.985,0.985,0.0,0.0
-0.96,0.98,0.98,0.0,0.0
-0.95,0.975,0.975,0.0,0.0
-0.94,0.97,0.97,0.0,0.0
-0.9299999999999999,0.965,0.965,0.0,0.0
-0.92,0.96,0.96,0.0,0.0
-0.91,0.9550000000000001,0.9550000000000001,0.0,0.0
-0.9,0.95,0.95,0.0,0.0
-0.89,0.9450000000000001,0.9450000000000001,0.0,0.0
-0.88,0.94,0.94,0.0,0.0
-0.87,0.935,0.935,0.0,0.0
-0.86,0.9299999999999999,0.9299999999999999,0.0,0.0
-0.85,0.925,0.925,0.0,0.0
-0.84,0.9199999999999999,0.9199999999999999,0.0,0.0
-0.83,0.915,0.915,0.0,0.0
-0.8200000000000001,0.91,0.91,0.0,0.0
-0.81,0.905,0.905,0.0,0.0
-0.8,0.9,0.9,0.0,0.0
-0.79,0.895,0.895,0.0,0.0
-0.78,0.89,0.89,0.0,0.0
-0.77,0.885,0.885,0.0,0.0
-0.76,0.88,0.88,0.0,0.0
-0.75,0.875,0.875,0.0,0.0
-0.74,0.87,0.87,0.0,0.0
-0.73,0.865,0.865,0.0,0.0
-0.72,0.86,0.86,0.0,0.0
-0.71,0.855,0.855,0.0,0.0
-0.7,0.85,0.85,0.0,0.0
-0.69,0.845,0.845,0.0,0.0
-0.6799999999999999,0.84,0.84,0.0,0.0
-0.6699999999999999,0.835,0.835,0.0,0.0
-0.6599999999999999,0.83,0.83,0.0,0.0
-0.6499999999999999,0.825,0.825,0.0,0.0
-0.64,0.8200000000000001,0.8200000000000001,0.0,0.0
-0.63,0.815,0.815,0.0,0.0
-0.62,0.81,0.81,0.0,0.0
-0.61,0.8049999999999999,0.8049999999999999,0.0,0.0
-0.6,0.8,0.8,0.0,0.0
-0.59,0.7949999999999999,0.7949999999999999,0.0,0.0
-0.5800000000000001,0.79,0.79,0.0,0.0
-0.5700000000000001,0.785,0.785,0.0,0.0
