kind,lambda,L,C
envelope,0.0,0.0,0.0
envelope,0.0025,0.0025,0.04993746088859545
envelope,0.005,0.005,0.07053367989832943
envelope,0.0075,0.0075,0.08627716963368699
envelope,0.01,0.01,0.099498743710662
envelope,0.0125,0.0125,0.11110243021644486
envelope,0.015,0.015,0.12155245781143217
envelope,0.0175,0.0175,0.13112494041943357
envelope,0.02,0.02,0.13999999999999999
envelope,0.0225,0.0225,0.1483028994996389
envelope,0.025,0.025,0.15612494995995996
envelope,0.0275,0.0275,0.1635351644142629
envelope,0.03,0.03,0.1705872210923198
envelope,0.0325,0.0325,0.17732385626305333
envelope,0.035,0.035,0.18377975949489106
envelope,0.0375,0.0375,0.1899835519196333
envelope,0.04,0.04,0.19595917942265423
envelope,0.0425,0.0425,0.20172691937369192
envelope,0.045,0.045,0.2073041244162788
envelope,0.0475,0.0475,0.21270578271405788
envelope,0.05,0.05,0.21794494717703367
envelope,0.0525,0.0525,0.22303306929690941
envelope,0.055,0.055,0.22798026230355994
envelope,0.0575,0.0575,0.2327955111251074
envelope,0.06,0.06,0.23748684174075832
envelope,0.0625,0.0625,0.24206145913796356
envelope,0.065,0.065,0.246525860712421
envelope,0.0675,0.0675,0.250885930255166
envelope,0.07,0.07,0.2551470164434615
envelope,0.0725,0.0725,0.2593139988508141
envelope,0.075,0.075,0.26339134382131846
envelope,0.0775,0.0775,0.2673831520496383
envelope,0.08,0.08,0.2712931993250107
envelope,0.0825,0.0825,0.275124971603815
envelope,0.085,0.085,0.2788816953476868
envelope,0.08750000000000001,0.08750000000000001,0.2825663638864329
envelope,0.09,0.09,0.2861817604250837
envelope,0.0925,0.0925,0.2897304782034503
envelope,0.095,0.095,0.293214938227915
envelope,0.0975,0.0975,0.29663740492392393
envelope,0.1,0.1,0.30000000000000004
envelope,0.10250000000000001,0.10250000000000001,0.3033047147671793
envelope,0.105,0.105,0.30655342111938666
envelope,0.1075,0.1075,0.3097478813486865
envelope,0.11,0.11,0.31288975694324034
envelope,0.1125,0.1125,0.31598061649411346
envelope,0.115,0.115,0.31902194281898544
envelope,0.11750000000000001,0.11750000000000001,0.32201513939565013
envelope,0.12,0.12,0.32496153618543844
envelope,0.1225,0.1225,0.3278623949159159
envelope,0.125,0.125,0.33071891388307384
envelope,0.1275,0.1275,0.3335322323254531
envelope,0.13,0.13,0.33630343441600474
envelope,0.1325,0.1325,0.33903355291180254
envelope,0.135,0.135,0.34172357249683555
envelope,0.1375,0.1375,0.3443744328488978
envelope,0.14,0.14,0.34698703145794946
envelope,0.14250000000000002,0.14250000000000002,0.34956222622016814
envelope,0.145,0.145,0.35210083782916507
envelope,0.1475,0.1475,0.3546036519834504
envelope,0.15,0.15,0.3570714214271425
envelope,0.1525,0.1525,0.3595048678390878
envelope,0.155,0.155,0.36190468358395145
envelope,0.1575,0.1575,0.36427153333742673
envelope,0.16,0.16,0.3666060555964672
envelope,0.1625,0.1625,0.36890886408434265
envelope,0.165,0.165,0.3711805490593493
envelope,0.1675,0.1675,0.3734216785351381
envelope,0.17,0.17,0.375632799419859
envelope,0.17250000000000001,0.17250000000000001,0.37781443858063446
envelope,0.17500000000000002,0.17500000000000002,0.3799671038392666
envelope,0.1775,0.1775,0.3820912849045369
envelope,0.18,0.18,0.38418745424597095
envelope,0.1825,0.1825,0.38625606791350214
envelope,0.185,0.185,0.38829756630707846
envelope,0.1875,0.1875,0.3903123748998999
envelope,0.19,0.19,0.39230090491866065
envelope,0.1925,0.1925,0.3942635539838802
envelope,0.195,0.195,0.3962007067131506
envelope,0.1975,0.1975,0.3981127352898925
envelope,0.2,0.2,0.4
envelope,0.2025,0.2025,0.40186284973856445
envelope,0.20500000000000002,0.20500000000000002,0.40370162248868907
envelope,0.20750000000000002,0.20750000000000002,0.4055166457742518
envelope,0.21,0.21,0.40730823708832603
envelope,0.2125,0.2125,0.4090767042988393
envelope,0.215,0.215,0.41082234603292944
envelope,0.2175,0.2175,0.4125454520413478
envelope,0.22,0.22,0.4142463035441596
envelope,0.2225,0.2225,0.4159251735588987
envelope,0.225,0.225,0.41758232721225164
envelope,0.2275,0.2275,0.41921802203626696
envelope,0.23,0.23,0.4208325082500163
envelope,0.2325,0.2325,0.4224260290275683
envelope,0.23500000000000001,0.23500000000000001,0.4239988207530771
envelope,0.23750000000000002,0.23750000000000002,0.42555111326373
envelope,0.24,0.24,0.4270831300812525
envelope,0.2425,0.2425,0.4285950886326161
envelope,0.245,0.245,0.43008720046055776
envelope,0.2475,0.2475,0.43155967142447405
envelope,0.25,0.25,0.4330127018922193
envelope,0.2525,0.2525,0.4344464869233034
envelope,0.255,0.255,0.4358612164439502
envelope,0.2575,0.2575,0.43725707541445225
envelope,0.26,0.26,0.4386342439892262
envelope,0.2625,0.2625,0.43999289766995103
envelope,0.265,0.265,0.4413332074521472
envelope,0.2675,0.2675,0.4426553399655312
envelope,0.27,0.27,0.4439594576084623
envelope,0.2725,0.2725,0.4452457186767774
envelope,0.275,0.275,0.4465142774872938
envelope,0.2775,0.2775,0.4477652844962414
envelope,0.28,0.28,0.44899888641287294
envelope,0.28250000000000003,0.28250000000000003,0.45021522630848465
envelope,0.28500000000000003,0.28500000000000003,0.4514144437210666
envelope,0.28750000000000003,0.28750000000000003,0.4525966747557918
envelope,0.29,0.29,0.4537620521815371
envelope,0.2925,0.2925,0.4549107055236225
envelope,0.295,0.295,0.4560427611529428
envelope,0.2975,0.2975,0.45715834237165576
envelope,0.3,0.3,0.458257569495584
envelope,0.3025,0.3025,0.45934055993347683
envelope,0.305,0.305,0.4604074282632721
envelope,0.3075,0.3075,0.46145828630549046
envelope,0.31,0.31,0.46249324319388707
envelope,0.3125,0.3125,0.46351240544347894
envelope,0.315,0.315,0.4645158770160607
envelope,0.3175,0.3175,0.46550375938331584
envelope,0.32,0.32,0.466476151587624
envelope,0.3225,0.3225,0.4674331503006607
envelope,0.325,0.325,0.4683748498798799
envelope,0.3275,0.3275,0.46930134242296817
envelope,0.33,0.33,0.4702127178203499
envelope,0.3325,0.3325,0.47110906380582407
envelope,0.335,0.335,0.4719904660054057
envelope,0.3375,0.3375,0.47285700798444347
envelope,0.34,0.34,0.4737087712930804
envelope,0.3425,0.3425,0.47454583551012225
envelope,0.34500000000000003,0.34500000000000003,0.4753682782853732
envelope,0.34750000000000003,0.34750000000000003,0.4761761753804993
envelope,0.35000000000000003,0.35000000000000003,0.47696960070847283
envelope,0.3525,0.3525,0.4777486263716516
envelope,0.355,0.355,0.478513322698543
envelope,0.3575,0.3575,0.47926375827930073
envelope,0.36,0.36,0.48
envelope,0.3625,0.3625,0.48072211307573526
envelope,0.365,0.365,0.48143016108258113
envelope,0.3675,0.3675,0.4821242059884569
envelope,0.37,0.37,0.48280430818293246
envelope,0.3725,0.3725,0.4834705265060115
envelope,0.375,0.375,0.4841229182759271
envelope,0.3775,0.3775,0.48476153931598165
envelope,0.38,0.38,0.4853864439804639
envelope,0.3825,0.3825,0.4859976851796724
envelope,0.385,0.385,0.4865953144040744
envelope,0.3875,0.3875,0.4871793817476269
envelope,0.39,0.39,0.4877499359302879
envelope,0.3925,0.3925,0.4883070243197408
envelope,0.395,0.395,0.4888506929523574
envelope,0.3975,0.3975,0.48938098655342144
envelope,0.4,0.4,0.4898979485566356
envelope,0.4025,0.4025,0.49040162112293223
envelope,0.405,0.405,0.4908920451586071
envelope,0.40750000000000003,0.40750000000000003,0.491369260332797
envelope,0.41000000000000003,0.41000000000000003,0.4918333050943175
envelope,0.41250000000000003,0.41250000000000003,0.4922842166878804
envelope,0.41500000000000004,0.41500000000000004,0.49272203116970525
envelope,0.4175,0.4175,0.4931467834225424
envelope,0.42,0.42,0.4935585071701227
envelope,0.4225,0.4225,0.4939572349910466
envelope,0.425,0.425,0.4943429983321297
envelope,0.4275,0.4275,0.49471582752121446
envelope,0.43,0.43,0.49507575177946256
envelope,0.4325,0.4325,0.49542279923313987
